Município,0 a 6 dias,7 a 27 dias,28 a 364 dias,1 a 4 anos,Total
261340 SAO JOSE DA COROA GRANDE,1,1,4,2,8
261350 SAO JOSE DO BELMONTE,5,-,3,-,8
261360 SAO JOSE DO EGITO,4,-,4,-,8
261370 SAO LOURENCO DA MATA,13,2,7,3,25
261380 SAO VICENTE FERRER,3,-,1,-,4
261390 SERRA TALHADA,11,3,3,4,21
261400 SERRITA,2,1,2,-,5
261410 SERTANIA,6,1,2,1,10
261420 SIRINHAEM,4,-,6,-,10
261430 MOREILANDIA,1,1,-,-,2
261450 SURUBIM,6,1,1,-,8
261460 TABIRA,5,1,-,-,6
261470 TACAIMBO,1,-,-,-,1
261480 TACARATU,1,2,1,-,4
261485 TAMANDARE,1,1,2,1,5
261500 TAQUARITINGA DO NORTE,2,1,1,-,4
261520 TERRA NOVA,2,-,-,-,2
261530 TIMBAUBA,1,3,2,1,7
261540 TORITAMA,3,1,4,3,11
261550 TRACUNHAEM,3,1,-,-,4
261560 TRINDADE,4,1,4,1,10
261570 TRIUNFO,2,-,2,-,4
261580 TUPANATINGA,10,-,-,-,10
261590 TUPARETAMA,3,-,1,-,4
261600 VENTUROSA,-,1,-,-,1
261610 VERDEJANTE,2,-,-,-,2
261618 VERTENTE DO LERIO,-,-,-,1,1
261620 VERTENTES,2,1,3,1,7
261630 VICENCIA,2,1,1,1,5
261640 VITORIA DE SANTO ANTAO,6,2,7,1,16
261650 XEXEU,2,1,1,1,5
