,municipio,0 a 6 dias,7 a 27 dias,28 a 364 dias,1 a 4 anos
161,timbauba,1.0,3.0,2.0,1.0
162,toritama,3.0,1.0,4.0,3.0
163,tracunhaem,3.0,1.0,,
164,trindade,4.0,1.0,4.0,1.0
165,triunfo,2.0,,2.0,
166,tupanatinga,10.0,,,
167,tuparetama,3.0,,1.0,
168,venturosa,,1.0,,
169,verdejante,2.0,,,
170,vertente do lerio,,,,1.0
171,vertentes,2.0,1.0,3.0,1.0
172,vicencia,2.0,1.0,1.0,1.0
173,vitoria de santo antao,6.0,2.0,7.0,1.0
174,xexeu,2.0,1.0,1.0,1.0
